keyword_given,response_generated,response_for_it
hello,Hey! How can I assist you today?,Hello!
hi,Hi there!,Hello!
hey,Hey! How can I assist you today?,Hello!
feeling,"I'm just a chatbot, but I'm here to help!","I'm just a chatbot, but I'm here to help!"
whats,"I'm just a chatbot, but I'm here to help!","I'm just a chatbot, but I'm here to help!"
hows going,"I don't have feelings, but thanks for asking.","I'm just a chatbot, but I'm here to help!"
name,I am a chatbot designed to provide information and assist with your questions.,I am a chatbot designed to provide information and assist with your questions.
created,I was created by a developer as a project to demonstrate Natural Language Processing(NLP) capabilities.,I was created by a developer as a project to demonstrate Natural Language Processing(NLP) capabilities.
creator,I was created by a developer as a project to demonstrate Natural Language Processing(NLP) capabilities.,I was created by a developer as a project to demonstrate Natural Language Processing(NLP) capabilities.
created,I was created by a developer as a project to demonstrate Natural Language Processing(NLP) capabilities.,I was created by a developer as a project to demonstrate Natural Language Processing(NLP) capabilities.
creator,I was created by a developer as a project to demonstrate Natural Language Processing(NLP) capabilities.,I was created by a developer as a project to demonstrate Natural Language Processing(NLP) capabilities.
goodbye,"See you later! If you ever need information or assistance, feel free to come back. Have a great day!","Goodbye! If you ever have more questions in the future, feel free to ask. Have a great day!"
bye,"Goodbye! If you ever have more questions in the future, feel free to ask. Have a great day!","Goodbye! If you ever have more questions in the future, feel free to ask. Have a great day!"
see later,"Goodbye! If you ever have more questions in the future, feel free to ask. Have a great day!","Goodbye! If you ever have more questions in the future, feel free to ask. Have a great day!"
weather,I'm not equipped to provide weather information. You can check a weather website or app for that.,I'm not equipped to provide weather information. You can check a weather website or app for that.
forecast,I'm not equipped to provide weather information. You can check a weather website or app for that.,I'm not equipped to provide weather information. You can check a weather website or app for that.
temperature,I'm not equipped to provide weather information. You can check a weather website or app for that.,I'm not equipped to provide weather information. You can check a weather website or app for that.
thank,You're welcome!,You're welcome!
thank,"No problem! If you have more questions, feel free to ask.",You're welcome!
appreciate,You're welcome!,You're welcome!
help,How can I assist you today?,"Of course, I'm here to assist you. What do you need help with?"
assistance,"Of course, I'm here to assist you. What do you need help with?","Of course, I'm here to assist you. What do you need help with?"
support,How can I assist you today?,"Of course, I'm here to assist you. What do you need help with?"
old,"I'm just a computer program, so I don't have an age or birthday.","I'm just a computer program, so I don't have an age or birthday."
birthday,"I'm just a computer program, so I don't have an age or birthday.","I'm just a computer program, so I don't have an age or birthday."
joke,"Sure, here's a joke: Why don't scientists trust atoms? Because they make up everything!","Sure, here's a joke: Why don't scientists trust atoms? Because they make up everything!"
funny,"Sure, here's a joke: Why don't scientists trust atoms? Because they make up everything!","Sure, here's a joke: Why don't scientists trust atoms? Because they make up everything!"
humor,"Sure, here's a joke: Why don't scientists trust atoms? Because they make up everything!","Sure, here's a joke: Why don't scientists trust atoms? Because they make up everything!"
capability,"The chatbot offers 24/7 support, providing information on mining rules, acts, circulars, and addressing land-related queries for stakeholders and customers..","The chatbot offers 24/7 support, providing information on mining rules, acts, circulars, and addressing land-related queries for stakeholders and customers.."
ability,"The chatbot offers 24/7 support, providing information on mining rules, acts, circulars, and addressing land-related queries for stakeholders and customers..","The chatbot offers 24/7 support, providing information on mining rules, acts, circulars, and addressing land-related queries for stakeholders and customers.."
located,I exist in the digital realm and don't have a physical location.,I exist in the digital realm and don't have a physical location.
